CMDLINE python main.py
MEM 67.031250 1704892743.4307
MEM 67.031250 1704892743.5313
MEM 67.031250 1704892743.6323
MEM 67.031250 1704892743.7329
MEM 67.031250 1704892743.8339
MEM 67.031250 1704892743.9348
MEM 67.031250 1704892744.0352
MEM 67.031250 1704892744.1362
MEM 67.031250 1704892744.2371
MEM 67.031250 1704892744.3382
MEM 67.031250 1704892744.4395
MEM 67.031250 1704892744.5403
MEM 67.031250 1704892744.6409
MEM 67.031250 1704892744.7416
MEM 67.031250 1704892744.8430
MEM 67.031250 1704892744.9433
MEM 67.031250 1704892745.0448
MEM 67.031250 1704892745.1457
MEM 67.031250 1704892745.2463
MEM 67.031250 1704892745.3471
MEM 67.031250 1704892745.4480
MEM 67.031250 1704892745.5493
MEM 67.031250 1704892745.6498
MEM 67.031250 1704892745.7508
MEM 67.031250 1704892745.8520
MEM 67.031250 1704892745.9525
MEM 67.031250 1704892746.0541
MEM 67.031250 1704892746.1548
MEM 67.031250 1704892746.2555
MEM 67.031250 1704892746.3568
MEM 67.031250 1704892746.4574
MEM 67.031250 1704892746.5581
MEM 67.031250 1704892746.6585
MEM 67.031250 1704892746.7591
MEM 67.031250 1704892746.8600
MEM 67.031250 1704892746.9610
MEM 67.031250 1704892747.0615
MEM 67.031250 1704892747.1622
MEM 67.031250 1704892747.2636
MEM 67.031250 1704892747.3642
MEM 67.031250 1704892747.4651
MEM 67.031250 1704892747.5661
MEM 67.031250 1704892747.6665
MEM 67.031250 1704892747.7673
MEM 67.031250 1704892747.8680
MEM 67.031250 1704892747.9695
MEM 67.031250 1704892748.0702
MEM 67.031250 1704892748.1713
MEM 67.031250 1704892748.2726
MEM 67.031250 1704892748.3738
MEM 67.031250 1704892748.4746
MEM 67.031250 1704892748.5752
MEM 67.031250 1704892748.6756
MEM 67.031250 1704892748.7765
MEM 67.031250 1704892748.8776
MEM 67.031250 1704892748.9783
MEM 67.031250 1704892749.0798
MEM 67.031250 1704892749.1812
MEM 67.031250 1704892749.2825
MEM 67.031250 1704892749.3832
MEM 67.031250 1704892749.4833
MEM 67.031250 1704892749.5843
MEM 67.031250 1704892749.6854
MEM 67.031250 1704892749.7863
MEM 67.031250 1704892749.8867
MEM 67.031250 1704892749.9878
MEM 67.031250 1704892750.0881
MEM 67.031250 1704892750.1890
MEM 67.031250 1704892750.2896
MEM 67.031250 1704892750.3906
MEM 67.031250 1704892750.4913
MEM 67.031250 1704892750.5922
MEM 67.031250 1704892750.6927
MEM 67.031250 1704892750.7934
MEM 67.031250 1704892750.8944
MEM 67.031250 1704892750.9951
MEM 67.031250 1704892751.0962
MEM 67.031250 1704892751.1971
MEM 67.031250 1704892751.2986
MEM 67.031250 1704892751.3995
MEM 67.031250 1704892751.5010
MEM 67.031250 1704892751.6012
MEM 67.031250 1704892751.7024
MEM 67.031250 1704892751.8035
MEM 67.031250 1704892751.9045
MEM 67.031250 1704892752.0051
MEM 67.031250 1704892752.1055
MEM 67.031250 1704892752.2068
MEM 67.031250 1704892752.3078
MEM 67.031250 1704892752.4089
MEM 67.031250 1704892752.5098
MEM 67.031250 1704892752.6102
MEM 67.031250 1704892752.7113
MEM 67.031250 1704892752.8117
MEM 67.031250 1704892752.9126
MEM 67.031250 1704892753.0138
MEM 67.031250 1704892753.1141
MEM 67.031250 1704892753.2152
MEM 67.031250 1704892753.3162
MEM 67.031250 1704892753.4172
MEM 67.031250 1704892753.5178
MEM 67.031250 1704892753.6180
MEM 67.031250 1704892753.7188
MEM 67.031250 1704892753.8194
MEM 67.031250 1704892753.9208
MEM 67.031250 1704892754.0216
MEM 67.035156 1704892754.1226
MEM 67.039062 1704892754.2228
MEM 67.054688 1704892754.3236
MEM 67.058594 1704892754.4246
MEM 67.058594 1704892754.5259
MEM 67.058594 1704892754.6265
MEM 67.058594 1704892754.7274
MEM 67.058594 1704892754.8284
MEM 67.058594 1704892754.9291
MEM 67.058594 1704892755.0300
MEM 67.058594 1704892755.1308
MEM 67.058594 1704892755.2318
MEM 67.058594 1704892755.3332
MEM 67.058594 1704892755.4342
MEM 67.058594 1704892755.5348
MEM 67.058594 1704892755.6356
MEM 67.058594 1704892755.7366
MEM 67.058594 1704892755.8378
MEM 67.058594 1704892755.9383
MEM 67.058594 1704892756.0387
MEM 67.058594 1704892756.1399
MEM 67.058594 1704892756.2403
MEM 67.058594 1704892756.3411
MEM 67.058594 1704892756.4429
MEM 67.058594 1704892756.5433
MEM 67.058594 1704892756.6443
MEM 67.058594 1704892756.7449
MEM 67.058594 1704892756.8458
MEM 67.058594 1704892756.9466
MEM 67.058594 1704892757.0472
MEM 67.058594 1704892757.1486
MEM 67.058594 1704892757.2491
MEM 67.058594 1704892757.3503
MEM 67.058594 1704892757.4512
MEM 67.058594 1704892757.5524
MEM 67.058594 1704892757.6527
MEM 67.058594 1704892757.7540
MEM 67.058594 1704892757.8548
MEM 67.058594 1704892757.9556
MEM 67.058594 1704892758.0565
MEM 67.058594 1704892758.1578
MEM 67.058594 1704892758.2591
MEM 67.058594 1704892758.3598
MEM 67.058594 1704892758.4604
MEM 67.058594 1704892758.5618
MEM 67.058594 1704892758.6621
MEM 67.058594 1704892758.7634
MEM 67.058594 1704892758.8647
MEM 67.058594 1704892758.9651
MEM 67.058594 1704892759.0658
MEM 67.058594 1704892759.1665
MEM 67.058594 1704892759.2669
MEM 67.058594 1704892759.3675
MEM 67.058594 1704892759.4682
MEM 67.058594 1704892759.5693
MEM 67.058594 1704892759.6698
MEM 67.058594 1704892759.7711
MEM 67.058594 1704892759.8720
MEM 67.058594 1704892759.9728
MEM 67.058594 1704892760.0731
MEM 67.058594 1704892760.1740
MEM 67.058594 1704892760.2752
MEM 67.058594 1704892760.3761
MEM 67.058594 1704892760.4769
MEM 67.058594 1704892760.5776
MEM 67.058594 1704892760.6786
MEM 67.058594 1704892760.7798
MEM 67.058594 1704892760.8806
MEM 67.058594 1704892760.9816
MEM 67.058594 1704892761.0823
MEM 67.058594 1704892761.1834
MEM 67.058594 1704892761.2848
MEM 67.058594 1704892761.3855
MEM 67.058594 1704892761.4863
MEM 67.058594 1704892761.5864
MEM 67.007812 1704892761.6870
MEM 67.007812 1704892761.7876
MEM 67.007812 1704892761.8889
MEM 67.007812 1704892761.9896
MEM 67.007812 1704892762.0902
MEM 67.007812 1704892762.1909
MEM 67.007812 1704892762.2917
MEM 67.007812 1704892762.3921
MEM 67.007812 1704892762.4933
MEM 67.007812 1704892762.5941
MEM 67.007812 1704892762.6945
MEM 67.007812 1704892762.7962
MEM 67.007812 1704892762.8972
MEM 67.007812 1704892762.9981
MEM 67.007812 1704892763.0990
MEM 67.007812 1704892763.2004
MEM 67.007812 1704892763.3014
MEM 67.007812 1704892763.4023
MEM 67.007812 1704892763.5033
MEM 67.007812 1704892763.6040
MEM 67.007812 1704892763.7047
MEM 67.007812 1704892763.8061
MEM 67.007812 1704892763.9070
MEM 67.007812 1704892764.0084
MEM 67.007812 1704892764.1092
MEM 67.007812 1704892764.2099
MEM 67.007812 1704892764.3109
MEM 67.007812 1704892764.4112
MEM 67.007812 1704892764.5127
MEM 67.007812 1704892764.6131
MEM 67.007812 1704892764.7137
MEM 67.007812 1704892764.8145
MEM 67.007812 1704892764.9155
MEM 67.007812 1704892765.0159
MEM 67.007812 1704892765.1169
MEM 67.007812 1704892765.2178
MEM 67.015625 1704892765.3182
MEM 67.023438 1704892765.4189
MEM 67.031250 1704892765.5198
MEM 67.031250 1704892765.6203
MEM 67.031250 1704892765.7216
MEM 67.031250 1704892765.8219
MEM 67.031250 1704892765.9236
MEM 67.031250 1704892766.0250
MEM 67.031250 1704892766.1264
MEM 67.031250 1704892766.2276
MEM 67.031250 1704892766.3281
MEM 67.031250 1704892766.4284
MEM 67.031250 1704892766.5292
MEM 67.031250 1704892766.6300
MEM 67.031250 1704892766.7311
MEM 67.031250 1704892766.8321
MEM 67.031250 1704892766.9327
MEM 67.031250 1704892767.0336
MEM 67.031250 1704892767.1338
MEM 67.031250 1704892767.2342
MEM 67.031250 1704892767.3345
MEM 67.031250 1704892767.4350
MEM 67.031250 1704892767.5359
MEM 67.031250 1704892767.6368
MEM 67.031250 1704892767.7373
MEM 67.031250 1704892767.8387
MEM 67.031250 1704892767.9398
MEM 67.031250 1704892768.0406
MEM 67.031250 1704892768.1418
MEM 67.031250 1704892768.2429
MEM 67.031250 1704892768.3434
MEM 67.031250 1704892768.4441
MEM 67.031250 1704892768.5449
MEM 67.031250 1704892768.6454
MEM 67.031250 1704892768.7462
MEM 67.031250 1704892768.8470
MEM 67.031250 1704892768.9485
MEM 67.031250 1704892769.0495
MEM 67.031250 1704892769.1503
MEM 67.031250 1704892769.2516
MEM 67.031250 1704892769.3523
MEM 67.031250 1704892769.4537
MEM 67.031250 1704892769.5545
MEM 67.031250 1704892769.6553
MEM 67.031250 1704892769.7559
